timestamp,x,y,z
1527699666552988,0.494629,-0.32959,0.799805
1527699666576990,0.493164,-0.333984,0.801758
1527699666597991,0.493164,-0.33252,0.794434
1527699666612992,0.48877,-0.330078,0.797852
1527699666635993,0.49707,-0.335449,0.800293
1527699666657994,0.495605,-0.332031,0.800781
1527699666672995,0.489746,-0.333984,0.79541
1527699666711997,0.492676,-0.334473,0.796875
1527699666734999,0.489746,-0.335938,0.806152
1527699666735999,0.5,-0.340332,0.800293
1527699666757000,0.489746,-0.335449,0.801758
1527699666774001,0.491211,-0.330566,0.802734
1527699666794002,0.494141,-0.333008,0.804688
1527699666838005,0.493652,-0.332031,0.807129
1527699666848005,0.493164,-0.328613,0.805664
1527699666854005,0.492676,-0.330566,0.808594
1527699666876007,0.496094,-0.335449,0.803711
1527699666892008,0.492676,-0.333496,0.800293
1527699666922009,0.487305,-0.330078,0.794434
1527699666937010,0.492188,-0.329102,0.811523
1527699666960011,0.489258,-0.329102,0.80127
1527699666982013,0.48584,-0.332031,0.806641
1527699666996014,0.496582,-0.331055,0.79541
1527699667020015,0.492676,-0.328613,0.797363
1527699667042016,0.495605,-0.331543,0.799316
1527699667056017,0.496582,-0.335449,0.806641
1527699667080018,0.495117,-0.32959,0.803711
1527699667102020,0.493164,-0.325684,0.804688
1527699667117020,0.491211,-0.325195,0.801758
1527699667140022,0.493164,-0.330566,0.808594
1527699667162023,0.498047,-0.333984,0.805176
1527699667177024,0.49707,-0.328125,0.805176
1527699667200025,0.491699,-0.326172,0.803223
1527699667222026,0.490723,-0.326172,0.803223
1527699667243028,0.497559,-0.331543,0.809082
1527699667260029,0.491699,-0.330566,0.793457
1527699667282030,0.492188,-0.328125,0.803223
1527699667303031,0.486816,-0.333008,0.803223
1527699667320032,0.493164,-0.336426,0.802246
1527699667342033,0.495117,-0.33252,0.808594
1527699667363035,0.492188,-0.330078,0.806641
1527699667380036,0.486816,-0.331543,0.807129
1527699667402037,0.489746,-0.326172,0.809082
1527699667423038,0.490234,-0.332031,0.806641
1527699667440039,0.493164,-0.331543,0.807129
1527699667462040,0.495605,-0.333984,0.802734
1527699667483041,0.495117,-0.331543,0.803711
1527699667500042,0.492188,-0.330566,0.804688
1527699667522044,0.492676,-0.334473,0.802734
1527699667543045,0.493164,-0.335938,0.80127
1527699667560046,0.492676,-0.333984,0.799316
1527699667597048,0.490723,-0.336426,0.801758
1527699667603048,0.489746,-0.335938,0.805664
1527699667620049,0.491699,-0.331055,0.804199
1527699667642051,0.490234,-0.333984,0.806152
1527699667672052,0.48877,-0.332031,0.8125
1527699667680053,0.491699,-0.333984,0.803223
1527699667702054,0.487793,-0.335938,0.806152
1527699667725055,0.492676,-0.33252,0.802734
1527699667740056,0.491211,-0.331055,0.80127
1527699667762057,0.492676,-0.337402,0.806152
1527699667785059,0.492188,-0.337891,0.802734
1527699667799059,0.493164,-0.336914,0.798828
1527699667813060,0.487793,-0.331543,0.80127
1527699667835062,0.492188,-0.32959,0.807617
1527699667850062,0.489746,-0.331055,0.80127
1527699667872064,0.48877,-0.330566,0.806152
1527699667895065,0.486816,-0.330078,0.803223
1527699667910066,0.491211,-0.330566,0.801758
1527699667932067,0.493164,-0.333496,0.805664
1527699667951068,0.490234,-0.338867,0.797363
1527699667970069,0.490723,-0.34082,0.808105
1527699667992071,0.494629,-0.331543,0.800781
1527699668010072,0.493164,-0.330078,0.804688
1527699668030073,0.491211,-0.333008,0.805664
1527699668053074,0.492676,-0.34082,0.804199
1527699668071075,0.492188,-0.333496,0.805176
1527699668090076,0.48291,-0.330078,0.800293
1527699668112077,0.48291,-0.33252,0.800781
1527699668130078,0.488281,-0.338379,0.806152
1527699668155080,0.49707,-0.338867,0.799805
1527699668172081,0.498535,-0.334961,0.797852
1527699668190082,0.491211,-0.332031,0.799805
1527699668210083,0.489746,-0.336426,0.807617
1527699668232084,0.493652,-0.336914,0.808105
1527699668250085,0.487305,-0.333008,0.803711
1527699668270086,0.487305,-0.334961,0.800293
1527699668293088,0.492676,-0.336914,0.806152
1527699668310089,0.487305,-0.334961,0.797852
1527699668330090,0.484863,-0.333984,0.801758
1527699668352091,0.486328,-0.336426,0.805664
1527699668371092,0.483398,-0.340332,0.803711
1527699668390093,0.489258,-0.341309,0.802734
1527699668413095,0.492676,-0.341797,0.804199
1527699668430096,0.491699,-0.345215,0.802246
1527699668450097,0.489258,-0.353027,0.799316
1527699668472098,0.486816,-0.352051,0.801758
1527699668490099,0.486328,-0.35498,0.80957
1527699668510100,0.487793,-0.36377,0.813965
1527699668533101,0.489258,-0.344727,0.824219
1527699668550102,0.487793,-0.330566,0.833008
1527699668570104,0.491211,-0.344727,0.849609
1527699668592105,0.509277,-0.380371,0.876465
1527699668610106,0.506836,-0.387207,0.902832
1527699668630107,0.478027,-0.385742,0.865234
1527699668652108,0.439453,-0.335938,0.852539
1527699668675110,0.431641,-0.318359,0.925781
1527699668690110,0.385254,-0.401367,0.961914
1527699668713112,0.357422,-0.460938,1.03369
1527699668735113,0.367188,-0.555664,1.01514
1527699668751114,0.344727,-0.558594,1.03516
1527699668773115,0.339355,-0.562012,1.08984
1527699668790116,0.327637,-0.560547,1.11377
1527699668811117,0.29541,-0.57959,1.11035
1527699668832119,0.253906,-0.563965,1.09424
