timestamp,x,y,z
1527699475297049,0.390625,-0.380859,0.835938
1527699475312050,0.39502,-0.39209,0.832031
1527699475335051,0.394531,-0.385254,0.82959
1527699475366053,0.394531,-0.391113,0.833984
1527699475372053,0.393066,-0.392578,0.83252
1527699475396055,0.393066,-0.389648,0.837891
1527699475417056,0.394531,-0.390625,0.83252
1527699475432057,0.393555,-0.392578,0.834473
1527699475488060,0.394531,-0.388672,0.840332
1527699475490060,0.393066,-0.384766,0.835938
1527699475495060,0.38623,-0.384766,0.828613
1527699475516062,0.395508,-0.388672,0.834961
1527699475534063,0.399902,-0.384277,0.835449
1527699475590066,0.395508,-0.383789,0.835938
1527699475600066,0.39502,-0.38916,0.833496
1527699475601066,0.396973,-0.39209,0.837402
1527699475614067,0.398926,-0.393066,0.826172
1527699475635068,0.39502,-0.388184,0.822754
1527699475651069,0.397461,-0.387695,0.828613
1527699475675071,0.402344,-0.387207,0.827148
1527699475695072,0.402344,-0.383789,0.833496
1527699475713073,0.403809,-0.380859,0.827637
1527699475735074,0.397461,-0.384766,0.831055
1527699475755075,0.395996,-0.383301,0.838379
1527699475773076,0.398438,-0.385254,0.833984
1527699475795077,0.399902,-0.389648,0.838379
1527699475815079,0.399414,-0.382813,0.833008
1527699475833080,0.397949,-0.381836,0.827637
1527699475855081,0.40332,-0.385254,0.831543
1527699475875082,0.400391,-0.385254,0.834961
1527699475893083,0.400391,-0.383301,0.828613
1527699475920085,0.398438,-0.38623,0.834473
1527699475935085,0.402344,-0.388672,0.830566
1527699475953087,0.40625,-0.383301,0.832031
1527699475975088,0.404785,-0.384766,0.834961
1527699475995089,0.404297,-0.383789,0.833984
1527699476013090,0.397949,-0.380859,0.83252
1527699476035091,0.402344,-0.382324,0.830078
1527699476055092,0.402344,-0.385742,0.831055
1527699476073093,0.40332,-0.382813,0.824219
1527699476095095,0.401855,-0.380371,0.829102
1527699476115096,0.403809,-0.382324,0.834961
1527699476133097,0.400879,-0.379883,0.828125
1527699476155098,0.405762,-0.380859,0.831543
1527699476176099,0.405273,-0.381348,0.829102
1527699476200101,0.408203,-0.385254,0.826172
1527699476221102,0.403809,-0.381348,0.82959
1527699476236103,0.405762,-0.378906,0.82666
1527699476253104,0.410156,-0.379395,0.829102
1527699476275105,0.400391,-0.374512,0.833008
1527699476296106,0.408203,-0.375977,0.828613
1527699476312107,0.404785,-0.378906,0.834961
1527699476347109,0.407227,-0.376465,0.833496
1527699476355110,0.40625,-0.380859,0.831055
1527699476372110,0.405762,-0.381836,0.821777
1527699476394112,0.401855,-0.376953,0.830078
1527699476415113,0.405273,-0.378906,0.824707
1527699476432114,0.401367,-0.378906,0.829102
1527699476454115,0.401367,-0.389648,0.830566
1527699476475116,0.404297,-0.38623,0.828613
1527699476492117,0.402832,-0.383301,0.833496
1527699476514119,0.399902,-0.381348,0.833984
1527699476535120,0.400391,-0.375488,0.833984
1527699476552121,0.398926,-0.374512,0.834473
1527699476574122,0.401367,-0.379395,0.836914
1527699476597123,0.404297,-0.380371,0.837891
1527699476619125,0.401367,-0.378418,0.832031
1527699476640126,0.406738,-0.381348,0.836426
1527699476657127,0.405273,-0.379395,0.830078
1527699476679128,0.404297,-0.381348,0.833496
1527699476700129,0.402344,-0.375977,0.830078
1527699476717130,0.400879,-0.378418,0.831055
1527699476739131,0.401855,-0.379395,0.831543
1527699476760133,0.401367,-0.382813,0.827637
1527699476777134,0.396973,-0.381348,0.830078
1527699476799135,0.397461,-0.380859,0.830078
1527699476820136,0.399414,-0.378418,0.82959
1527699476836137,0.40332,-0.379883,0.837891
1527699476860138,0.402344,-0.379883,0.841309
1527699476880140,0.400391,-0.380371,0.834473
1527699476897141,0.401855,-0.380371,0.833984
1527699476919142,0.404297,-0.38623,0.835449
1527699476940143,0.399414,-0.381348,0.832031
1527699476957144,0.401367,-0.378906,0.839355
1527699476979145,0.401855,-0.379395,0.830078
1527699477000146,0.402344,-0.380859,0.833008
1527699477017147,0.40625,-0.380371,0.836426
1527699477039149,0.400391,-0.381836,0.831055
1527699477062150,0.397949,-0.379395,0.833008
1527699477077151,0.399902,-0.37793,0.829102
1527699477099152,0.396973,-0.379395,0.827148
1527699477122153,0.397461,-0.383789,0.833008
1527699477137154,0.401367,-0.381348,0.834961
1527699477159156,0.401367,-0.381836,0.837891
1527699477182157,0.398926,-0.382324,0.835449
1527699477197158,0.390137,-0.389648,0.845215
1527699477219159,0.396484,-0.383301,0.843262
1527699477242160,0.396484,-0.375488,0.846191
1527699477256161,0.394043,-0.38916,0.883789
1527699477279162,0.396484,-0.410156,0.901367
1527699477309164,0.404297,-0.401367,0.905762
1527699477316164,0.361328,-0.437988,0.946289
1527699477339166,0.342285,-0.409668,0.956543
1527699477362167,0.399902,-0.32959,0.998535
1527699477383168,0.438965,-0.355957,0.964355
1527699477399169,0.375488,-0.474609,0.975098
1527699477422171,0.287109,-0.637695,0.92334
1527699477443172,0.278809,-0.737305,0.925781
1527699477459173,0.306641,-0.783203,0.94043
1527699477482174,0.300781,-0.791992,0.984863
1527699477503175,0.22168,-0.734863,1.00488
1527699477519176,0.154297,-0.67334,1.00146
1527699477542177,0.103027,-0.60791,0.995605
1527699477563179,0.00927734,-0.570801,0.99707
1527699477579180,-0.0791016,-0.559082,0.939453
1527699477602181,-0.125977,-0.567871,0.898438
1527699477623182,-0.149414,-0.58252,0.852539
1527699477639183,-0.196777,-0.576172,0.803223
1527699477662184,-0.257813,-0.500488,0.734375
1527699477683185,-0.322754,-0.391602,0.688477
1527699477699186,-0.360352,-0.33252,0.642578
1527699477722188,-0.382813,-0.299316,0.609863
1527699477744189,-0.432617,-0.262207,0.553711
1527699477759190,-0.48291,-0.193848,0.551758
1527699477782191,-0.529297,-0.0908203,0.519531
1527699477803192,-0.583008,-0.00195313,0.479004
1527699477818193,-0.631836,0.0654297,0.45752
1527699477842195,-0.655273,0.103516,0.465332
