timestamp,x,y,z
1527699303962249,0.399414,-0.40918,0.818359
1527699303985251,0.395996,-0.40332,0.814941
1527699304000251,0.39502,-0.40625,0.819824
1527699304021253,0.399902,-0.415527,0.817383
1527699304045254,0.401367,-0.411621,0.819336
1527699304060255,0.398926,-0.408203,0.80957
1527699304112258,0.391113,-0.405762,0.818848
1527699304122258,0.396973,-0.416016,0.821289
1527699304124258,0.392578,-0.414063,0.822266
1527699304136259,0.391113,-0.401855,0.823242
1527699304152260,0.391602,-0.408691,0.827148
1527699304172261,0.380859,-0.414551,0.829102
1527699304197263,0.383789,-0.407715,0.826172
1527699304224264,0.382813,-0.407715,0.818848
1527699304236265,0.385254,-0.415039,0.812988
1527699304254266,0.399414,-0.423828,0.805176
1527699304269267,0.405762,-0.431152,0.813965
1527699304291268,0.408691,-0.422852,0.810059
1527699304314269,0.399902,-0.40332,0.813965
1527699304329270,0.393066,-0.406738,0.814453
1527699304351271,0.399902,-0.425781,0.825684
1527699304374273,0.398438,-0.426758,0.830566
1527699304389274,0.38916,-0.413574,0.835449
1527699304411275,0.380371,-0.416504,0.827637
1527699304434276,0.382813,-0.419922,0.825684
1527699304449277,0.377441,-0.423828,0.822754
1527699304471278,0.377441,-0.425781,0.817383
1527699304494280,0.377441,-0.42627,0.818848
1527699304509281,0.382813,-0.437988,0.822754
1527699304531282,0.390137,-0.432129,0.821777
1527699304554283,0.388672,-0.417969,0.811035
1527699304569284,0.380371,-0.411621,0.816406
1527699304591285,0.384766,-0.418457,0.817383
1527699304614287,0.387207,-0.430176,0.83252
1527699304629287,0.382324,-0.421875,0.824219
1527699304651289,0.380859,-0.413086,0.824219
1527699304674290,0.384766,-0.416016,0.813477
1527699304690291,0.388672,-0.411133,0.800293
1527699304711292,0.388672,-0.415039,0.796875
1527699304734293,0.395508,-0.425781,0.812012
1527699304750294,0.389648,-0.427246,0.814453
1527699304771295,0.38623,-0.417969,0.83252
1527699304794297,0.380859,-0.411133,0.825195
1527699304810298,0.378418,-0.411133,0.83252
1527699304831299,0.385254,-0.408203,0.827637
1527699304854300,0.38916,-0.406738,0.814941
1527699304872301,0.390137,-0.415527,0.814941
1527699304891302,0.391602,-0.432617,0.814941
1527699304914304,0.388184,-0.429199,0.821777
1527699304930305,0.381836,-0.426758,0.818359
1527699304951306,0.370605,-0.410645,0.812988
1527699304987308,0.361816,-0.406738,0.817383
1527699304990308,0.367676,-0.412598,0.82666
1527699305011309,0.383789,-0.42041,0.82373
1527699305034311,0.387695,-0.417969,0.823242
1527699305052312,0.383789,-0.418457,0.819336
1527699305071313,0.388672,-0.414551,0.82373
1527699305094314,0.390625,-0.41748,0.82959
1527699305112315,0.385742,-0.416016,0.828613
1527699305133316,0.373535,-0.414063,0.829102
1527699305154317,0.369141,-0.418945,0.838379
1527699305172318,0.376953,-0.427246,0.838867
1527699305191320,0.379395,-0.433105,0.826172
1527699305214321,0.375,-0.431641,0.82959
1527699305231322,0.371094,-0.424316,0.830078
1527699305261324,0.369141,-0.416504,0.828125
1527699305274324,0.374023,-0.421387,0.821289
1527699305291325,0.372559,-0.422363,0.820313
1527699305314327,0.367188,-0.426758,0.819824
1527699305334328,0.367188,-0.430664,0.827148
1527699305351329,0.374023,-0.427734,0.830566
1527699305373330,0.370117,-0.432129,0.82666
1527699305394331,0.368164,-0.435547,0.822266
1527699305411332,0.371582,-0.43457,0.822754
1527699305433333,0.376465,-0.430176,0.819336
1527699305454335,0.374023,-0.423828,0.830566
1527699305471336,0.378906,-0.422852,0.820801
1527699305493337,0.378418,-0.422852,0.822754
1527699305514338,0.37207,-0.422363,0.826172
1527699305538339,0.372559,-0.418945,0.833008
1527699305553340,0.366211,-0.418945,0.828125
1527699305576342,0.368652,-0.419922,0.828125
1527699305591342,0.373535,-0.428711,0.831543
1527699305613344,0.376465,-0.42627,0.832031
1527699305636345,0.370605,-0.418945,0.823242
1527699305651346,0.370605,-0.419434,0.832031
1527699305673347,0.368652,-0.422852,0.828125
1527699305696348,0.374023,-0.425781,0.830078
1527699305710349,0.376953,-0.416504,0.821777
