timestamp,x,y,z
1527697777090925,0.405273,-0.422363,0.776367
1527697777114927,0.424316,-0.365234,0.753418
1527697777129928,0.40918,-0.343262,0.748535
1527697777150929,0.428711,-0.362793,0.771973
1527697777165930,0.464844,-0.399414,0.791992
1527697777189931,0.444336,-0.396973,0.816406
1527697777234934,0.393066,-0.394043,0.826172
1527697777243934,0.359375,-0.410156,0.848145
1527697777250935,0.366211,-0.415039,0.852539
1527697777271936,0.364746,-0.399414,0.85498
1527697777287937,0.344727,-0.396484,0.853027
1527697777312938,0.337891,-0.409668,0.837402
1527697777353941,0.350586,-0.415039,0.841797
1527697777354941,0.380371,-0.412109,0.836914
1527697777367941,0.388672,-0.398438,0.830566
1527697777391943,0.385254,-0.400879,0.819336
1527697777407944,0.388184,-0.408691,0.815918
1527697777427945,0.411621,-0.415527,0.816895
1527697777450946,0.418457,-0.414063,0.827148
1527697777466947,0.398438,-0.394531,0.823242
1527697777487948,0.37207,-0.393066,0.831543
1527697777511950,0.36084,-0.396973,0.831055
1527697777526950,0.366211,-0.411621,0.834961
1527697777547952,0.367188,-0.413086,0.82666
1527697777571953,0.355469,-0.40918,0.817871
1527697777586954,0.351563,-0.410156,0.813965
1527697777607955,0.361328,-0.422852,0.823242
1527697777631956,0.385254,-0.437012,0.834473
1527697777646957,0.388184,-0.432129,0.843262
1527697777667958,0.369629,-0.416992,0.849121
1527697777691960,0.353027,-0.413086,0.839844
1527697777706961,0.354492,-0.42041,0.847168
1527697777727962,0.358398,-0.437012,0.855469
1527697777750963,0.358398,-0.443848,0.858398
1527697777766964,0.350586,-0.426758,0.850098
1527697777787965,0.333984,-0.413086,0.84668
1527697777811967,0.338379,-0.408203,0.834961
1527697777826968,0.364746,-0.397949,0.833984
1527697777847969,0.379395,-0.395508,0.834473
1527697777871970,0.385742,-0.407227,0.810547
1527697777886971,0.386719,-0.442383,0.806152
1527697777909972,0.384277,-0.462891,0.807129
1527697777931974,0.38623,-0.449219,0.814941
1527697777946974,0.374023,-0.426758,0.813477
1527697777969976,0.341797,-0.419922,0.813477
1527697777990977,0.324707,-0.417969,0.819824
1527697778006978,0.324707,-0.440918,0.840332
1527697778029979,0.339844,-0.457031,0.852051
1527697778050980,0.32959,-0.457031,0.849121
1527697778066981,0.318359,-0.442871,0.847656
1527697778089983,0.307129,-0.439453,0.838867
1527697778110984,0.328125,-0.451172,0.838867
1527697778126985,0.354004,-0.445801,0.828613
1527697778149986,0.369629,-0.442383,0.821777
1527697778171987,0.374023,-0.436523,0.814453
1527697778186988,0.375977,-0.435547,0.806152
1527697778209989,0.373535,-0.420898,0.818359
1527697778231991,0.364746,-0.43457,0.840332
1527697778246992,0.374512,-0.443359,0.855469
1527697778269993,0.381836,-0.433594,0.862305
1527697778290994,0.368652,-0.435059,0.854492
1527697778306995,0.352051,-0.466797,0.883789
1527697778329996,0.366699,-0.466797,0.894531
1527697778351998,0.392578,-0.447754,0.921875
1527697778373999,0.428223,-0.456055,0.961426
1527697778390000,0.441406,-0.473633,0.973145
1527697778412001,0.420898,-0.51416,0.916016
1527697778436002,0.351074,-0.580078,0.911621
1527697778450003,0.297852,-0.677246,0.917969
1527697778472004,0.238281,-0.768066,0.917969
1527697778495006,0.194824,-0.831055,0.875
1527697778510007,0.11084,-0.765137,0.797852
1527697778532008,0.0366211,-0.728027,0.782715
1527697778555009,-0.0668945,-0.711914,0.752441
1527697778570010,-0.15332,-0.724609,0.682617
1527697778592011,-0.208984,-0.666016,0.625977
1527697778615013,-0.254395,-0.567871,0.589844
1527697778636014,-0.307129,-0.515137,0.589844
1527697778654015,-0.383301,-0.486328,0.546875
1527697778675016,-0.377441,-0.408203,0.581543
1527697778696017,-0.320801,-0.350586,0.596191
1527697778712018,-0.393066,-0.333008,0.561035
1527697778735020,-0.499023,-0.280273,0.483887
1527697778756021,-0.540039,-0.218262,0.473145
1527697778772022,-0.492188,-0.297363,0.54248
1527697778795023,-0.442383,-0.409668,0.613281
1527697778816024,-0.454102,-0.486816,0.658203
1527697778832025,-0.487305,-0.568848,0.688965
1527697778855026,-0.452637,-0.623535,0.725586
1527697778868027,-0.408203,-0.62207,0.740234
1527697778891028,-0.446289,-0.60498,0.729492
1527697778906029,-0.48877,-0.624023,0.741211
1527697778928031,-0.499512,-0.618164,0.74707
1527697778951032,-0.472656,-0.583984,0.750977
1527697778966033,-0.438477,-0.562988,0.739258
1527697778988034,-0.42041,-0.573242,0.733398
1527697779011035,-0.416504,-0.595703,0.723145
1527697779026036,-0.410645,-0.612305,0.720215
1527697779049037,-0.407715,-0.579102,0.69873
1527697779063038,-0.414063,-0.573242,0.683105
1527697779086040,-0.42041,-0.567871,0.6875
1527697779109041,-0.417969,-0.566406,0.687988
1527697779123042,-0.418457,-0.578613,0.686523
1527697779146043,-0.421387,-0.583984,0.689941
1527697779169044,-0.414551,-0.595703,0.695801
1527697779183045,-0.418945,-0.587402,0.700195
1527697779206046,-0.432129,-0.562988,0.6875
1527697779229048,-0.42627,-0.570801,0.689453
1527697779245049,-0.418457,-0.576172,0.692383
1527697779266050,-0.419922,-0.58252,0.698242
1527697779289051,-0.422363,-0.580078,0.696777
1527697779303052,-0.432617,-0.574707,0.686035
1527697779326053,-0.424805,-0.577148,0.690918
1527697779349055,-0.416016,-0.574707,0.692383
1527697779363055,-0.422363,-0.569824,0.691895
1527697779386057,-0.418945,-0.580566,0.691406
1527697779408058,-0.413574,-0.580078,0.688477
1527697779423059,-0.413086,-0.584473,0.686035
1527697779446060,-0.412109,-0.581055,0.687012
1527697779468061,-0.412109,-0.580078,0.695801
1527697779483062,-0.408203,-0.583496,0.701172
1527697779506064,-0.40918,-0.586914,0.701172
1527697779528065,-0.407715,-0.578125,0.69873
1527697779544066,-0.410156,-0.574707,0.691406
1527697779574068,-0.414063,-0.580078,0.69043
1527697779588068,-0.399414,-0.590332,0.704102
1527697779603069,-0.369141,-0.608887,0.708496
1527697779626070,-0.365234,-0.616211,0.706055
1527697779648072,-0.386719,-0.616211,0.710449
1527697779663073,-0.398438,-0.613281,0.705078
1527697779694074,-0.382324,-0.614746,0.711426
1527697779718076,-0.379395,-0.605957,0.713867
1527697779740077,-0.39209,-0.595703,0.711426
1527697779763078,-0.394043,-0.596191,0.708008
1527697779792080,-0.387207,-0.59668,0.712402
1527697779793080,-0.387207,-0.588379,0.704102
1527697779806081,-0.388672,-0.581055,0.697266
1527697779828082,-0.380859,-0.580566,0.700684
1527697779846083,-0.383301,-0.588867,0.694336
1527697779866084,-0.383789,-0.588867,0.701172
1527697779890086,-0.379883,-0.58252,0.695801
1527697779919087,-0.368652,-0.579102,0.690918
1527697779943089,-0.361816,-0.571777,0.69043
1527697779965090,-0.350586,-0.575684,0.689941
1527697779966090,-0.336914,-0.577148,0.678711
1527697779986091,-0.334473,-0.557617,0.686035
1527697780008092,-0.346191,-0.515625,0.670898
1527697780023093,-0.340332,-0.481934,0.655273
1527697780046095,-0.324707,-0.467773,0.640625
1527697780068096,-0.287598,-0.466797,0.648926
1527697780083097,-0.251465,-0.477051,0.620605
1527697780106098,-0.213867,-0.46875,0.594727
1527697780128099,-0.14502,-0.482422,0.661621
1527697780151101,-0.0166016,-0.546875,0.719727
1527697780166101,0.104492,-0.57666,0.78125
1527697780188103,0.114746,-0.552246,0.881836
1527697780205104,0.160156,-0.580078,0.98584
1527697780226105,0.168945,-0.441895,0.860352
1527697780248106,0.185547,-0.378906,0.821777
1527697780265107,0.203125,-0.308594,0.808594
1527697780287108,0.233887,-0.351074,0.731445
1527697780308110,0.277344,-0.507324,0.860352
1527697780325110,0.30127,-0.731934,0.921387
1527697780363113,0.446289,-1.05273,1.33008
1527697780377113,0.64502,-0.875488,1.28564
