timestamp,x,y,z
1527646452564995,0.283203,-0.424316,0.850586
1527646452587996,0.289063,-0.418945,0.848145
1527646452602997,0.289551,-0.411621,0.848633
1527646452626999,0.288086,-0.418457,0.847656
1527646452648000,0.290039,-0.415039,0.849121
1527646452663001,0.294922,-0.421387,0.848145
1527646452687002,0.296387,-0.416992,0.845215
1527646452716004,0.296387,-0.415039,0.844238
1527646452728004,0.292969,-0.412598,0.84375
1527646452747005,0.288574,-0.411621,0.837891
1527646452769007,0.286621,-0.410156,0.851074
1527646452783008,0.285156,-0.413086,0.842773
1527646452806009,0.285645,-0.410645,0.841309
1527646452835010,0.287598,-0.407227,0.839844
1527646452848011,0.293945,-0.412598,0.850098
1527646452866012,0.29834,-0.414551,0.848633
1527646452888014,0.299316,-0.412598,0.844238
1527646452903014,0.294922,-0.413086,0.847168
1527646452925016,0.293457,-0.417969,0.839355
1527646452948017,0.293457,-0.415527,0.836426
1527646452963018,0.289063,-0.415527,0.842285
1527646452985019,0.282715,-0.42041,0.848633
1527646453008020,0.280762,-0.425781,0.851563
1527646453023021,0.279297,-0.421875,0.854004
1527646453045023,0.282715,-0.413086,0.849121
1527646453068024,0.286621,-0.413086,0.852539
1527646453083025,0.296875,-0.40918,0.849121
1527646453105026,0.302734,-0.40918,0.850586
1527646453128027,0.305176,-0.40625,0.848633
1527646453143028,0.303711,-0.40625,0.849609
1527646453165029,0.296875,-0.410645,0.848633
1527646453188031,0.293945,-0.413574,0.849609
1527646453203032,0.286133,-0.41748,0.844238
1527646453225033,0.287109,-0.418945,0.850098
1527646453248034,0.286133,-0.42041,0.849609
1527646453263035,0.293945,-0.419434,0.845215
1527646453285036,0.294434,-0.418457,0.842285
1527646453308038,0.297363,-0.413574,0.841309
1527646453323038,0.29541,-0.411133,0.844238
1527646453345040,0.29834,-0.411133,0.845703
1527646453368041,0.293945,-0.411133,0.849121
1527646453383042,0.289551,-0.410645,0.857422
1527646453405043,0.286621,-0.413086,0.854004
1527646453428044,0.286621,-0.413086,0.858887
1527646453443045,0.290039,-0.408691,0.864746
1527646453465047,0.29248,-0.409668,0.856445
1527646453488048,0.290527,-0.405273,0.855469
1527646453503049,0.29248,-0.404297,0.855957
1527646453525050,0.294434,-0.402832,0.858887
1527646453548051,0.296387,-0.399902,0.848633
1527646453563052,0.300293,-0.40332,0.852051
1527646453585053,0.295898,-0.401855,0.842773
1527646453608055,0.296875,-0.405762,0.850098
1527646453623056,0.295898,-0.407715,0.848145
1527646453645057,0.297363,-0.402344,0.849121
1527646453668058,0.296875,-0.403809,0.856445
1527646453683059,0.294922,-0.400391,0.854004
1527646453705060,0.29248,-0.399902,0.85498
1527646453728062,0.293457,-0.398926,0.84668
1527646453743062,0.297852,-0.400879,0.855957
1527646453765064,0.29541,-0.396484,0.855469
1527646453788065,0.297852,-0.39502,0.854492
1527646453803066,0.297852,-0.396973,0.856934
1527646453825067,0.300293,-0.395508,0.852051
1527646453848068,0.299805,-0.395996,0.85791
1527646453866069,0.299316,-0.399902,0.851563
1527646453885071,0.295898,-0.398438,0.846191
1527646453908072,0.299805,-0.401367,0.85498
1527646453926073,0.299805,-0.39502,0.852051
1527646453947074,0.299316,-0.38916,0.853516
1527646453968075,0.30127,-0.394043,0.852051
1527646453986076,0.300781,-0.396973,0.853516
1527646454007078,0.300293,-0.394531,0.858398
1527646454027079,0.299805,-0.393555,0.851563
1527646454045080,0.297852,-0.392578,0.856934
1527646454067081,0.302734,-0.394043,0.854492
1527646454083082,0.301758,-0.39209,0.849609
1527646454106083,0.301758,-0.396484,0.856934
1527646454126084,0.303223,-0.394043,0.854492
1527646454143085,0.301758,-0.39502,0.850098
1527646454169087,0.299316,-0.397461,0.850586
1527646454187088,0.303711,-0.395996,0.849609
1527646454203089,0.302734,-0.395996,0.845215
1527646454225090,0.299316,-0.394043,0.854492
1527646454246091,0.297363,-0.398438,0.856445
1527646454263092,0.297852,-0.396484,0.855469
1527646454286093,0.300293,-0.396484,0.852539
1527646454306095,0.305176,-0.391602,0.856934
1527646454323096,0.305176,-0.392578,0.856934
1527646454345097,0.300781,-0.39209,0.851074
1527646454367098,0.297363,-0.394531,0.854004
1527646454388099,0.296875,-0.395996,0.856934
1527646454405100,0.299316,-0.394531,0.856934
1527646454427102,0.298828,-0.395996,0.85498
1527646454448103,0.295898,-0.396484,0.858887
1527646454465104,0.299805,-0.398438,0.855957
1527646454487105,0.303223,-0.395508,0.860352
1527646454502106,0.299805,-0.391602,0.856445
1527646454525107,0.299316,-0.390625,0.856934
1527646454547108,0.29541,-0.392578,0.86084
1527646454562109,0.29834,-0.397461,0.861328
1527646454585111,0.303711,-0.398438,0.859375
1527646454607112,0.29834,-0.392578,0.863281
1527646454621113,0.295898,-0.396484,0.862793
1527646454645114,0.297363,-0.399414,0.859375
1527646454667115,0.30127,-0.398926,0.86084
1527646454681116,0.300293,-0.400879,0.863281
1527646454705117,0.307129,-0.40332,0.871582
1527646454727119,0.305664,-0.39209,0.871582
1527646454741120,0.309082,-0.375977,0.876953
1527646454765121,0.306641,-0.394043,0.89209
1527646454787122,0.325195,-0.427246,0.926758
1527646454801123,0.32959,-0.387207,0.992676
1527646454825124,0.335938,-0.300293,0.98291
1527646454847126,0.362793,-0.322754,1.01807
1527646454868127,0.313477,-0.339844,1.0625
1527646454885128,0.254395,-0.363281,1.13379
1527646454907129,0.217773,-0.447754,1.08496
1527646454928130,0.186035,-0.607422,1.01807
1527646454945131,0.171387,-0.802246,1.00732
1527646454967132,0.187012,-0.918945,1.01807
1527646454988134,0.142578,-0.869629,1.01758
1527646455005135,0.0371094,-0.848145,0.958008
1527646455027136,-0.0395508,-0.700684,0.922363
1527646455048137,-0.0561523,-0.596191,0.899902
1527646455064138,-0.0830078,-0.592773,0.823242
1527646455087139,-0.134277,-0.567871,0.762207
1527646455108141,-0.187988,-0.544922,0.700195
1527646455124141,-0.165039,-0.527344,0.666992
1527646455147143,-0.182617,-0.514648,0.604004
1527646455168144,-0.24707,-0.443359,0.605957
1527646455184145,-0.28125,-0.384766,0.567871
1527646455207146,-0.337891,-0.317871,0.582031
1527646455228147,-0.379883,-0.26123,0.528809
1527646455244148,-0.443359,-0.186035,0.519531
1527646455267150,-0.518066,-0.179199,0.483887
1527646455290151,-0.573242,-0.170898,0.488281
1527646455304152,-0.611816,-0.117676,0.476563
1527646455327153,-0.638184,-0.0996094,0.513184
1527646455350154,-0.634277,-0.135254,0.553223
