timestamp,x,y,z
1527646804643133,0.577148,-0.310059,0.740234
1527646804664134,0.573242,-0.305664,0.73877
1527646804687135,0.57666,-0.306152,0.741211
1527646804702136,0.57373,-0.321289,0.73877
1527646804724137,0.568359,-0.325195,0.741211
1527646804747139,0.572754,-0.322754,0.746582
1527646804762140,0.564453,-0.316895,0.746094
1527646804815143,0.550781,-0.317871,0.750488
1527646804816143,0.542969,-0.320313,0.750488
1527646804838144,0.546387,-0.321289,0.751953
1527646804840144,0.543945,-0.322754,0.756348
1527646804859145,0.543945,-0.325684,0.757813
1527646804875146,0.540039,-0.327637,0.763672
1527646804897147,0.53125,-0.325195,0.76709
1527646804926149,0.533691,-0.319824,0.76709
1527646804938150,0.525879,-0.313965,0.772949
1527646804957151,0.522461,-0.316406,0.777832
1527646804979152,0.521973,-0.316895,0.772949
1527646804994153,0.522461,-0.329102,0.780273
1527646805016154,0.522949,-0.320801,0.776855
1527646805039155,0.524902,-0.320313,0.771973
1527646805054156,0.523926,-0.322754,0.766602
1527646805076158,0.516602,-0.323242,0.771973
1527646805099159,0.51123,-0.334961,0.774902
1527646805114160,0.513672,-0.337891,0.777832
1527646805136161,0.509277,-0.341309,0.773926
1527646805159162,0.503906,-0.341797,0.788574
1527646805174163,0.500977,-0.343262,0.79248
1527646805196164,0.491699,-0.333008,0.791504
1527646805218166,0.478516,-0.327148,0.794434
1527646805233167,0.479004,-0.333496,0.79541
1527646805256168,0.480957,-0.32959,0.801758
1527646805278169,0.477051,-0.334473,0.801758
1527646805294170,0.480469,-0.339355,0.808105
1527646805316171,0.48584,-0.335938,0.798828
1527646805339173,0.486816,-0.328125,0.800781
1527646805354173,0.480469,-0.328613,0.808105
1527646805376175,0.46875,-0.32666,0.806152
1527646805399176,0.469727,-0.323242,0.80957
1527646805413177,0.471191,-0.325195,0.80957
1527646805436178,0.467773,-0.32666,0.812988
1527646805458179,0.472656,-0.327148,0.815918
1527646805475180,0.46875,-0.324219,0.812988
1527646805496182,0.463379,-0.320313,0.807617
1527646805518183,0.462402,-0.323242,0.813477
1527646805533184,0.460938,-0.321777,0.815918
1527646805556185,0.460938,-0.321777,0.814453
1527646805578186,0.464355,-0.320313,0.813477
1527646805594187,0.466309,-0.316895,0.82373
1527646805616188,0.467285,-0.320313,0.819824
1527646805639190,0.471191,-0.326172,0.821777
1527646805654191,0.478027,-0.312988,0.813965
1527646805678192,0.477051,-0.301758,0.814453
1527646805698193,0.472168,-0.298828,0.80957
1527646805714194,0.473145,-0.305176,0.805664
1527646805736195,0.473145,-0.30957,0.811035
1527646805758197,0.478027,-0.314453,0.811523
1527646805774197,0.476563,-0.312988,0.80957
1527646805796199,0.473633,-0.304688,0.808594
1527646805818200,0.480469,-0.300781,0.821289
1527646805836201,0.494141,-0.306641,0.827148
1527646805856202,0.5,-0.279297,0.84668
1527646805879203,0.496582,-0.266602,0.852539
1527646805893204,0.504395,-0.305176,0.891602
1527646805917206,0.519043,-0.296875,0.886719
1527646805939207,0.524902,-0.270508,0.885254
1527646805956208,0.498535,-0.288574,0.932617
1527646805977209,0.441895,-0.249512,1.10986
1527646805998210,0.400879,-0.291992,1.24512
1527646806016211,0.414551,-0.353027,1.25049
1527646806037213,0.410645,-0.335449,1.23096
1527646806059214,0.40332,-0.252441,1.18359
1527646806076215,0.364258,-0.276855,1.12207
1527646806097216,0.298828,-0.43457,1.05225
1527646806118217,0.240234,-0.547363,1.03955
1527646806136218,0.234863,-0.561035,1.04492
1527646806157219,0.239746,-0.562012,1.03271
1527646806179221,0.173828,-0.539551,0.989746
1527646806197222,0.0795898,-0.507324,0.914063
1527646806223223,0.00390625,-0.44043,0.880371
1527646806238224,-0.0234375,-0.372559,0.831055
1527646806256225,-0.0551758,-0.366699,0.794922
1527646806279226,-0.112305,-0.425293,0.753906
1527646806298227,-0.183594,-0.398438,0.679688
1527646806318229,-0.257324,-0.349609,0.628418
1527646806340230,-0.286621,-0.302246,0.583496
1527646806358231,-0.344727,-0.25293,0.548828
1527646806376232,-0.439453,-0.193359,0.515625
1527646806399233,-0.48584,-0.123047,0.477539
1527646806419234,-0.523438,-0.0839844,0.476563
1527646806436235,-0.561523,-0.0419922,0.465332
1527646806459237,-0.60498,-0.00878906,0.496094
1527646806479238,-0.640137,-0.0234375,0.507813
1527646806496239,-0.67334,-0.027832,0.515137
1527646806518240,-0.707031,-0.0332031,0.518555
1527646806539241,-0.702148,-0.0327148,0.541504
1527646806555242,-0.71875,-0.0239258,0.539551
1527646806578243,-0.753418,-0.0180664,0.536133
1527646806599245,-0.796387,-0.0361328,0.519043
1527646806615246,-0.816406,-0.0341797,0.48291
1527646806638247,-0.730469,-0.000488281,0.463867
1527646806659248,-0.934082,0.00878906,0.597168
1527646806676249,-0.587402,0.138184,0.523438
1527646806698250,-0.861816,0.0527344,0.401367
1527646806719252,-1.07324,0.0380859,0.507813
1527646806735252,-0.915527,0.0473633,0.50293
1527646806758254,-0.741699,-0.0332031,0.660645
1527646806779255,-0.501465,-0.247559,0.753906
1527646806795256,-0.341797,-0.450684,0.831055
1527646806818257,-0.212891,-0.541992,0.851074
1527646806839258,-0.220703,-0.55957,0.864258
1527646806855259,-0.435059,-0.473633,0.822266
1527646806878261,-0.717285,-0.310547,0.729492
1527646806899262,-0.91748,-0.149414,0.682617
1527646806915263,-0.879395,-0.0776367,0.691895
1527646806938264,-0.691406,-0.15918,0.739258
1527646806959265,-0.59668,-0.255371,0.780273
1527646806975266,-0.582031,-0.289063,0.793457
1527646806998267,-0.586426,-0.311035,0.784668
1527646807019269,-0.570313,-0.29248,0.770508
1527646807035270,-0.580078,-0.262207,0.757324
1527646807058271,-0.631348,-0.220215,0.729492
1527646807079272,-0.65332,-0.202637,0.719727
1527646807095273,-0.638184,-0.22998,0.710449
1527646807118274,-0.616211,-0.25293,0.714355
1527646807141276,-0.609863,-0.263184,0.71875
1527646807155276,-0.598633,-0.257813,0.722168
1527646807178278,-0.587891,-0.22998,0.725098
1527646807200279,-0.60498,-0.217773,0.73291
1527646807215280,-0.621582,-0.227539,0.727051
1527646807238281,-0.615234,-0.227539,0.735352
1527646807260282,-0.602051,-0.236328,0.733398
1527646807275283,-0.616211,-0.237793,0.728516
1527646807298285,-0.621582,-0.227539,0.725586
1527646807320286,-0.619141,-0.219727,0.721191
1527646807335287,-0.612305,-0.216797,0.727051
1527646807358288,-0.621094,-0.231934,0.717773
1527646807380289,-0.626953,-0.222168,0.725098
1527646807395290,-0.625977,-0.223633,0.71875
1527646807418291,-0.618652,-0.210449,0.717285
1527646807441293,-0.619141,-0.220703,0.714355
1527646807455294,-0.613281,-0.233398,0.710449
1527646807478295,-0.60791,-0.228516,0.708008
1527646807500296,-0.601074,-0.217773,0.69873
1527646807515297,-0.602051,-0.210938,0.692383
1527646807538298,-0.573242,-0.214355,0.68457
1527646807560300,-0.535645,-0.220215,0.679199
1527646807581301,-0.495117,-0.222168,0.660156
1527646807598302,-0.463379,-0.220215,0.645996
1527646807620303,-0.411621,-0.217285,0.656738
1527646807642304,-0.360352,-0.206543,0.650391
1527646807658305,-0.335449,-0.21582,0.630859
1527646807680306,-0.305176,-0.228516,0.634277
1527646807701308,-0.27002,-0.20459,0.69043
1527646807718309,-0.227539,-0.196777,0.738281
1527646807740310,-0.245605,-0.211914,0.757813
1527646807761311,-0.242676,-0.261719,0.739746
1527646807778312,-0.162109,-0.249023,0.820801
1527646807800313,-0.0253906,-0.253906,0.870117
1527646807821315,-0.0117188,-0.21875,0.927734
1527646807838316,-0.0244141,-0.317383,0.941895
